,QUESTION_TITLE,QUESTION_BODY,ACCEPTED_ANSWER_BODY,QUESTION_FAVORITES,QUESTION_SCORE,QUESTION_VIEWS,ANSWER_SCORE,ANSWER_COMMENT_COUNT,QUESTION_BODY_HAS_CODE,ACCEPTED_ANSWER_BODY_HAS_CODE
10,Capitalize First letter,"I'm trying to write a code to capitalize a first letter after a period ""."" For example:   The output should be:   Note: only use basic methods String: , , , ,  That means no , no array, no split... etc. Other solutions I found in this site involve those things.  EDIT: thanks so much for the fast replies everyone. Just saw the edit of Robin Krahl. Yeah I forgot to add my code.  My code look exactly like mau's reply. But this code end up with this exception  java.lang.StringIndexOutOfBoundsException: String index out of range  And from here I don't know how to fix that -.-","build a state machine with 2 states and have it scan the characters. start in state 1: switch to state 2 if input is period state 2: switch to state 1 if input is not period and not space state 1: output the input without modification state 2: if input is a character, output capitalized using   Update: Simpler version  Update 2: even simpler version ",,0,498,0,9,1,1
11,Use two different .tff font files in same JComponent,"Is there a way I can use two completley different fonts in the same swing component? I mean like two separate .tff files (processed in any way). Only requirement is that text is editable. I'm open for external libraries too. That would also work. I'd look for them myself, but this is a minor feature and I'd have to go trought API of every single one of them to see if it's there... External libaraies that do super AND subscripting are also welcome, as long as I can control the size and height of the script.","The option is: : has a Document to manage data and Editor kit to read and write text with editing capability even with styling( e.g, with font type and color foreground). You can also implement undo-redo options too.  However to satisfy your question i am writing a small snippets with  to show how it works.    Every Swing Text component is associated with a model known as Document to manage data. What we have done in this code is that, we set different style instances to the  associating with the  component. I have assumed that you know how to add the  to the  and show it. The two different style  and  has different foreground and font family:  and . You can replace them with font-family available in your platform including  and . Remember that these style created by  has parent-child hierarchy relation. The child's style attributes(Foreground, background, font size, font style) will override the parent's attributes.  However Please go through these tutorial article:   Using Text Components And  How to Use Editor Panes and Text Panes ",,0,206,4,9,0,1
12,ajax autocomplete extender is not working,I have an autocompleate extender on textbox which shows records as a list from database but whern I click on texbox and start typing nothing happned. my html code is  And my web service is ,"Try adding this line, i remember i had the same problem once where it worked for me locally but not live. ",1.0,6,14843,4,10,1,1
13,Generate CSV file using PHP Codeigniter Framework,"I want to generate a csv file, using data from a database. How does one do this in PHP CodeIgniter framework?",Take a look at this answer of mine and you will know exactly how you can do it. Reports in Codeigniter You need to use Codeigniter Database Utility Class And need to return query instead of  or ,,-1,25098,1,15,0,1
14,Treating a folder like an array,"Is it possible to treat a folder like an array? So that the first file in it is treated as File 0, the second File 1 etc? Thanks",I guess that you mean this: ,,1,48,3,16,0,1
15,jQuery check if DIV (not window) started scrolling and addClass to another div,"I have my ""html"" setted at overflow hidden (no scrollbar), but I have my contentarea div (where all the content is) that is scrollable and has a scrollbar... What I'm trying to do is if user starts scrolling in the contentarea addClass (jquery) to another div.. if user scroll all the way to the top removeClass... Here is the code I have that was working fine before I made the ""html"" overflow hidden..  I tried to put the contentarea id instead of window.. something like this:  but it still doesn't work... http://jsfiddle.net/erxw5/ Can somebody give me a hand please, I tried everything I can already... Thank you very much"," You can use  instead of .  works but it's unnecessary. You should use  or  instead of , because you need quotes there. window is an object that exists. #contentarea is a string.  ALL MY FIXES TOGETHER: http://jsfiddle.net/mw3H8/1/",,0,284,1,17,1,1
16,HTML drag event does not fire in firefox,"I have a table on which I need to implement draggable header columns. I implemented it using Chrome as my browser, and everything worked fine. When I tested it in Firefox (17.0.1), I noticed that the  event doesn't fire.  does, though.  I simplified the problem in the markup below. When loaded in Chrome, the top label updates each time the mouse moves while dragging. In Firefox it remains 0. ","The bit that has been cut out http://pastebin.com/bD2g3SqL EDIT: This does work, however I'm yet to find a way to access the offsetX and offsetY properties, for some reason FF version of the event does not contain them.  Apparently, what you need to do is to ""initialize"" the drag (source.) EDIT2: Apparently, there's a bug in the drag event (go figure) which does not update the clientX and clientY properties (source.) They are updated on some other events, like the dragover event, however that event will fire only while the object is being dragged over a plausible drop target. A way out of such a silly situation would be something as crude as this: ",,9,7056,5,7,1,1
17,Where do I write MySQL trigger,I didn't write any trigger for my works. Now i want to know how to write trigger and where do I write it. Is it possible to write trigger as SQL query in phpmyadmin. Please help me to write a simple trigger... I tried like below  Thanks in advance Nisanth ,"In phpMyAdmin you can create the trigger in the SQL window.  You may have to set the delimieter to something like ""$$"" instead of the default "";"". You can change this easily from the bottom of the SQL window. Delimiter in phpMyAdmin http://img52.imageshack.us/img52/9144/phpmyadmin.jpg In addition, make sure you close your trigger block with the  command, which is missing from your example.",,2,1852,2,5,1,1
18,Displaying exception debug information to users,"I'm currently working on adding exceptions and exception handling to my OSS application. Exceptions have been the general idea from the start, but I wanted to find a good exception framework and in all honesty, understand C++ exception handling conventions and idioms a bit better before starting to use them. I have a lot of experience with C#/.Net, Python and other languages that use exceptions. I'm no stranger to the idea (but far from a master).  In C# and Python, when an unhandled exception occurs, the user gets a nice stack trace and in general a lot of very useful priceless debugging information. If you're working on an OSS application, having users paste that info into issue reports is... well let's just say I'm finding it difficult to live without that. For this C++ project, I get ""The application crashed"", or from more informed users, ""I did X, Y and Z, and then it crashed"". But I want that debugging information too! I've already (and with great difficulty) made my peace with the fact that I'll never see a cross-platform and cross-compiler way of getting a C++ exception stack trace, but I know I can get the function name and other relevant information. And now I want that for my unhandled exceptions. I'm using boost::exception, and they have this very nice diagnostic_information thingamajig that can print out the (unmangled) function name, file, line and most importantly, other exception specific information the programmer added to that exception. Naturally, I'll be handling exceptions inside the code whenever I can, but I'm not that naive to think I won't let a couple slip through (unintentionally, of course). So what I want to do is wrap my main entry point inside a  block with a  that creates a special dialog that informs the user that an error has occurred in the application, with more detailed information presented when the user clicks ""More"" or ""Debug info"" or whatever. This would contain the string from diagnostic_information. I could then instruct the users to paste this information into issue reports.  But a nagging gut feeling is telling me that wrapping everything in a try block is a really bad idea. Is what I'm about to do stupid? If it is (and even if it's not), what's a better way to achieve what I want?","Wrapping all your code in one  block is a-ok. It won't slow down the execution of anything inside it, for example. In fact, all my programs have (code similar to) this framework: ",10.0,6,5879,3,5,1,1
19,Why is there no IArray(T) interface in .NET?,"Update 2011-Jan-06: Believe it or not, I went ahead and incorporated this interface into an open source library I've started, Tao.NET. I wrote a blog post explaining this library's  interface, which not only addresses the issues I originally raised in this question (a year ago?!) but also provides a covariant indexed interface, something that's sorely lacking (in my opinion) in the BCL.  Question (in short): I asked why .NET has , which implements  and therefore provides methods to modify the list (, , etc.), but doesn't offer any in-between interface such as  to provide random access by index without any list modification.  EDIT 2010-Jan-21 2:22 PM EST: In a comment to Jon Skeet's original answer (in which he questioned how often one would have any need for a contract such as ), I mentioned that the  and  properties of the  class are  and , respectively, to which Jon replied:  But in this case it's declared to be   IList and you know to just use the   indexers. . . . It's not hugely   elegant, I agree - but it doesn't   actually cause me any pain.  This is reasonable, but I would respond by saying that it doesn't cause you any pain because you just know you can't do it. But the reason you know isn't that it's clear from the code; it's that you have experience with the  class. Visual Studio isn't going to give me any warnings if I do this:  It's legal, according to . But we all know, it's going to cause an exception. Guillaume made an apt point as well:  Well, the interfaces aren't perfect   but a dev can check the IsReadOnly   property before calling   Add/Remove/Set...  Again, this is reasonable, BUT: does this not strike you as a bit circuitous? Suppose I defined an interface as follows:  Now, suppose as well that I made it a common practice to implement this interface, but only for its  method; in many cases, I would opt to set  to  and throw a  on ... Then I might have some code that looked like this:  Am I crazy, or is this kind of defeating the purpose of an interface called ?  Original Post I find it very peculiar that in .NET, when I am designing a class with a collection property that provides random access by index (or a method that returns an indexed collection, etc.), but should not or cannot be modified by adding/removing items, and if I want to ""do the right thing"" OOP-wise and provide an interface so that I can change the internal implementation without breaking the API, I have to go with . The standard approach, it seems, is to go with some implementation of  that explicitly defines the methods , , etc. -- typically by doing something like:  But I kind of hate this. If another developer is using my class, and my class has a property of type , and the whole idea of an interface is: ""these are some available properties and methods"", why should I throw a  (or whatever the case may be) when he/she tries to do something that, according to the interface, should be completely legal? I feel like implementing an interface and explicitly defining some of its members is like opening a restaurant and putting some items on the menu -- perhaps in some obscure, easy-to-miss part of the menu, but on the menu nonetheless -- that are simply never available. It seems there ought to be something like an  interface that provides very basic random access by index, but no adding/removing, like the following:  And then  could implement  and  and add its ,  and  methods. Of course, I could always just write this interface and use it myself, but that doesn't help with all the pre-existing .NET classes that don't implement it. (And yes, I know I could write a wrapper that takes any  and spits out an , but ... seriously?) Does anyone have any insight into why the interfaces in  were designed this way? Am I missing something? Is there a compelling argument against what I'm saying about my issues with the approach of explicitly defining members of ? I'm not trying to sound cocky, as if I know better than the people who designed the .NET classes and interfaces; it just doesn't make sense to me. But I'm ready to acknowledge there's plenty I probably haven't taken into consideration.","Design questions are not always black and white. One side is exact interfaces for each situation, which makes the whole process of actually implementing interfaces a real pain.  The other is few(er) multi-purpose interfaces which aren't always fully supported by the implementor but make many things easier, such as passing instances around which are similar but would not get the same interfaces assigned in the ""exact interface"" design. So the BCL designers chose to go the second way. Sometimes I also wish that interfaces were a little less multi-purpose, especially for the collections and with the C#4 interface co-/contravariance features (which cannot be applied to most collection interfaces escept for IEnumerable<> because they contain both co- as well as contravariant parts). Also, it's a shame that the base classes such as string and the primitive types do not support some interfaces such as ICharStream (for strings, which could be used for regex etc. to allow using other sources than  instances for pattern matching) or IArithmetic for numeric primitives, so that generic math would be possible. But I guess that all frameworks have some weak points.",2.0,15,3091,5,5,1,1
20,Starting a process and listening for exit event,"I have some code that starts a process and hooks up an event handler to handle when the process exits, the code I have is written in C# and I wonder if something similar is possible with Delphi.  I don't know much about Delphi so any help would be appreciated, thanks.","Yes, you can do something similar with Delphi.  I have not seen using an event handler, but you can create a process, wait for it to finish, and then do something when that happens.  Put it in another thread if you want to do something in the meantime. Here is some code for creating a process and waiting that I scraped off the net: ",5.0,5,3748,9,5,1,1
21,Dynamically create in PHP a drop-down list from a range of numbers *with increments*,I need to dynamically create in PHP a drop-down list of numerical choices like so:  I would like to only specify the starting and ending numbers. Thanks for any help., The  function can handle all of the situations you described in the comment.   ,1.0,4,9721,14,5,1,1
22,Difference between fflush and fsync,"I thought  does  internally, so using  on a stream is OK. But I am getting an unexpected result when executed under network I/O. My code snippet:  But it seems  is not flushing the data (I tried on Windows and the data was written on a Linux exported filesystem). When I changed the code to be:  it flushes the data. I am wondering if  does the same thing as . Any inputs?"," works on , it just flushes the internal buffers in the  of your application  out to the OS.  works on a lower level, it tells the OS to flush its buffers to the physical media. OSs heavily cache data you write to a file. If the OS enforced every write to hit the drive, things would be very slow.  (among other things) allows you to control when the data should hit the drive. Furthermore, fsync/commit works on a file descriptor. It has no knowledge of a  and can't flush its buffers.  lives in your application, file descriptors live in the OS kernel, typically.",29.0,58,43759,85,5,1,1
23,Objective-C: navigationController pushViewController & NIBs,"I have some issues with pushViewController. Essentially so far I have a class (UIViewController) that is essentially a UITableView (i have delegates for UITable) and it shows the UITable fine. Now I want this to be a hierarchical table that goes down to another controller... Problem is, prior to me making this change, the NIB file because of its structure has a file owner and its a second tab item (so there is no UIApplicationDelegate in the current controller but there is for the App). I have a window with a view and a UITable underneath that. So my first controller is:  } I believe I am meant to change this to be a navcontroller or something, to be able to push a view controller with a navbar on top that links backwards? How do I go about doing this?  Thanks","Your initial view controller will be a  instead of your current table view controller.  You then push your table view controllers onto this navigation controller. The navigation controller takes care of the navigation bar, so you can remove that from your PostsViewController. Your PostsViewController will know when it has been added to a UINavigationController; its  property will be set.  You use this property to access your current view controller for pushing and popping other view controllers.",1.0,1,3954,1,6,1,1
24,SQL - XOR based on referencing table,"Say for example, I have the following two tables:  Each row in TableA has one or more rows in TableB referencing it (using the TableA_id foreign key). My query lists rows in TableA to display to the user. OptionString can be one of two values - let's say ""Option1"" and ""Option2"". Now I want the query to still list rows in TableA, but I want to provide the user with a filter to say ""only display rows in TableA where the OptionString has either ""Option1"" OR ""Option2""  (ie. exclusive or). I've tried using COUNT, but the problem is that a zero count displays no results (not '0' as I would want). I'm sure I must be missing something simple with this. Any help would be greatly appreciated. Cheers, Dan.","Try this, if I understand your question correctly  Revised query based on new information  What I am doing here is forcing distinct values from tableB",,1,1396,3,6,1,1
25,How to implement a read-only member variable in PHP?,"When trying to change it,throw an exception.","I suppose a solution, for class properties, would be to :  not define a property with the name that interests you use the magic  method to access that property, using the ""fake"" name define the  method so it throws an exception when trying to set that property. See Overloading, for more informations on magic methods.  For variables, I don't think it's possible to have a read-only variable for which PHP will throw an exception when you're trying to write to it.  For instance, consider this little class :  Instanciating the class and trying to read the property :  Will get you the expected output :  While trying to write to the property :  Will get you an Exception : ",4.0,11,16114,23,6,0,1
26,Integrating Clojure into an existing Java project?,"How can I take a large existing Java project and start to add Clojure modules?  For example, in the code below, I'd like to make the following functions available in Java: state?, zip?, state-list, zipcode-list.  The two predicates will return a boolean, but the ""getters"" will return arrays.  (def *states* (list ""NJ"" ""NY"" ""CA"")) (def *zipcodes*  (list 12345 54343 98765))  (defn member [x sq]   (if (seq sq)     (if (= x (first sq))       sq       (recur x (rest sq)))))  (defn state? [aState]   (not (= (member aState *states*) nil)))  (defn zip? [aZip]   (not (= (member aZip *zipcodes*) nil)))  (defn state-list []   *states*)  (defn zipcode-list []   *zipcodes*) ;; --------------- (state? ""AA"") (state? ""CA"") (zip? 11111) (zip? 12345) ","I would compile it using leiningen then add the jar file to my java project as a build dep. Here is a great video on using leiningen.  then you would call it directly from java. Leiningen has an uberjar option that bulds in clojure and all your clojure dependencies so you only have to worry about one file. I like this because its less work.  A more java friendly approach would be to add an ant task to build it along with the java project its just a little more work   for the functions that need to return proper java arrays call  on them contrary to many of the top ""calling clojure from java"" hits you should not need to call the clojure runtime RT.  PS: my favorite tag line ""I would like to use a java library called clojure"" I asked Rich he said this was cool ;)",3.0,13,3935,11,7,0,1
27,"Convert all first letter to upper case, rest lower for each word","I have a string of text (about 5-6 words mostly) that I need to convert. Currently the text looks like:  I want to convert it to:  I can loop through my collection of strings, but not sure how to go about performing this text modification.",,22.0,110,129466,251,7,1,1
28,Kafka Connect Api - Getting Started?,"I would like to understand the development life-cycle for Kafka connect modules. Following http://kafka.apache.org/090/documentation.html#connect, I would like to write a custom Kafka connect module using the ""connect api"" but I dont know where to start. Are there any minimal examples of how to do this? Project setup etc?  Incidentally I built this one https://github.com/confluentinc/kafka-connect-jdbc and tried to run it (on google cloud) but i find errors - clearly a missing dependency but I dont know what to add. Of course it might be that this is only supposed to run on confluent platform. If it could run elsewhere then great. But if it cant, I would like to know how to build one from scratch hence my question. ","The most common cause of this kind of errors is the configuration of your CLASSPATH. For Kafka Connect to find your classes on runtime you need to include them on your classpath. The following text is taken directly from the documentation of Kafka connect :  All that is required to install a new plugin is to place it in the CLASSPATH of the Kafka Connect process. All the scripts for running Kafka Connect will use the CLASSPATH environment variable if it is set when they are invoked, making it easy to run with additional connector plugins:  And how to do it:  I have also written a how to guide for Kafka Connect that you might find helpful.",2.0,2,9624,2,5,1,1
29,python - write formated file without fixed number of variables to print,"I have these lines of code that create a list (with different amount of variables in it), and want to put them in an outfile. The thing is in   I don't know exactly how to write the format since the output varies in number. Is there anyway of putting an output with different number of columns? *I looked at this: Increasing variables and numbers by one each time (python) ... but in my case they don't increase one-by-one. Also, can I print a list without the parenthesis?  The code is like this:  (# In this case I am creating a ""cube"" -matrix- of 3x3x3)   using print it gives me this (which is correct):   I want the outfile to have in the first column the number of the cube, and the following columns -from lower to higher- the neighbors; like this: ","Your question isn't quite clear to me, but I believe you want to print the variable  followed by its neighbors in sorted order.  If so, this code snippet illustrates how to do that:  Which results in this output:  5 2 4 10 12 ",,0,139,1,3,1,1
30,How to send data in body and queryparam by prototype.js?,"My Service (RESTful JAX-RS) is receiving values like the following.  From the Ajax call I have to pass values to that service. To my scenario, I have tried like the below. It is not working to me.  I dont know how to pass values via body as well as queryparameter in Prototype.js. Any help is much appreciated. Regards, ArunRaj","When your request method is post, any parameters you set in the request will be sent in the body of the request. It is possible to also manually build in some querystring parameters in the URL you send to, although this is strictly not a correct way to send a POST (i.e. with a sidecar GET contained within it).  That's going to result in a set of POST variables [foo, bar, baz] being populated in the body of the request.  That may, depending on the laxity of your server, result in the same POST along with a set of GET variables [boo, blarg] being populated by the querystring. On a PHP server, these are collated into the REQUEST global object, with same-name GET variables being overwritten by their POST equivalents, so you don't have to interrogate both sets of form data separately.",,0,552,2,3,1,1
31,Yodlee CoreExceptionFaultMessage,"On a 30 trial from Yodlee and after compiling and running sampleapp (soap)  I have setup the property file with my credential and using the console tool:  ./yconsole.sh when trying to login or register a user, i get a message followed by exception:   CoreExceptionFaultMessage if you are familiar with the platform, do you think this bug is in the app or on the server side ,  any work around ?",This error comes when you are not using the right Cobrand with the right SOAP server. So you will have to change either the SOAP URL or the cobrand credentials.,,0,558,2,3,1,0
32,Documentation on how to integrate with “Reading view” in Internet Explorer 11,How does Reading view in Internet Explorer 11 work? The only developer documentation I could find was pretty useless.,"Documentation for Reading View can be found on IE's Test Drive In the link, you will find more specific guidance on what Reading View looks for during extraction to determine article title, date, author, publisher, images, caption, and copyright. Below is an example I copy and pasted from the test drive Date Reading View will render the publisher and date information together on the same line, with additional styling to highlight this information. The article's publishing date will render exactly as it appears in the string. Reading View does not convert to a specific date format. How Reading View Works Once a Web site is determined to be reading view eligible, reading view uses a number of heuristics to identify and then extract relevant content from the page, to create a new page (in memory). The algorithm was developed using a sample of the web to help ensure we had the largest coverage and accuracy as possible. These heuristics look at HTML tags, node depth, image size, and word count to determine what content on the page is the “main” content.",3.0,6,1142,2,3,0,0
33,Calling pthread_mutex_init atomically,"If shared access to the code inside some library, among multiple threads is protected by global mutex and when the mutex is being acquired first time we need to call pthread_mutex_init but if multiple thread tries to call library function same time then we need to make sure pthread_mutex_init gets called by only one thread and once. How can we achieve this ? Library constructors/destructor is one solution but library must support all compilers/platforms. We can use counter and use atomic inc/dec but atomic ++/-- operations on every lock/unlock are expensive. I am looking for any other way. All comments will be appreciated. ",You have two good choices:  Statically initialize the mutex using . Use  and a statically initalized  to ensure the mutex is initialized once. ,,0,263,3,3,0,1
34,reading a string from input file SAS,"I am new to SAS, for my homework I need to read this file: http://www.math.tau.ac.il/~liadshek/Books.txt I am trying the following:  But the author field is not read properly, generating the following error:  I tried adding DSD to my command, as suggested in these links: http://www.ats.ucla.edu/stat/sas/faq/readdsd2.htm http://www.ats.ucla.edu/stat/sas/faq/InfileOptions_ut.htm But that doesn't seem to help (all fields are not read properly when I do that...). What am I doing wrong? Thanks and sorry for the dumb question. Edit - My solution: ","Without completely answering the question for you, since you've said this is homework, you need to find a way to tell SAS that 'author' is a character variable. If you don't tell it otherwise, it will assume that all variables are supposed to be numeric and will throw errors accordingly.",1.0,1,100,4,3,1,0
35,How to find the first free key in an array,"We all know that arrays are actually ordered trees in PHP. Given that, an array index (integer key) need not be in any strict order or even exist at all. So, given an array like:  How can we determine the lowest (non negative) integer of the first empty key, without re-indexing the array? In this case it would be .",Easy solution by  loop:  Output: ,,1,1367,5,3,1,1
36,Cannot overload functions distinguished by return type alone,"I am reading ""Effective C++"" and trying to compile this example from rule 3:  This must describe how to prevent code duplication; to not write the same code to return a non-const result. I am using VS2012. However I am getting an error. I heard heard that overloaded functions cannot have different return types, but after seeing this I don't know what to think.","I think the book says  not  cv-qualifiers are part of a function's signature, return types are not.",,3,5980,6,3,1,1
37,How to enter private key password with ansible,"I have the vagrant  running. I can  into it using  then it ask me the pass phrase for the private key , which I can enter and then it logs me in. but if I use:  then I get this:  How can I enter pass phrase in ansible? I tried  but it says authentication failed.","Try using  as the transport. Generally, Ansible uses  which is not as friendly for interactive sessions:  If that doesn't work, I didn't see anything on running Ansible with an ssh key pass phrase on the documentation or in the code, so you might have to remove it with something like this: ",,8,8455,8,3,1,1
